student_id,year,grade,attendance_category,attendance_rate,study_hours_per_week,study_consistency,performance_trend,screen_time_hours,homework_completion_rate,academic_risk_score,behavioral_risk_score,overall_risk_score,Buddhism_score,English_score,Geography_score,History_score,ICT_score,Mathematics_score,Science_score,Sinhala_score
STU0014,2023,8,moderate,67,16,Regular,Declining,5.5,0.897,5.64,12.9,35.76,92.53,76.31,95.3,94.67,91.24,94.09,94.15,90.36
STU0014,2024,9,moderate,67.68,16,Rare,Declining,1.2,0.8974,5.05,12.99,35.52,94.78,78.28,95.2,95.82,94.24,95.55,95.61,91.42
STU0014,2025,10,moderate,70.98,16,Rare,Declining,3.6,0.8946,4.76,12.95,35.38,94.7,82.46,96.32,96.67,94.99,95.81,95.39,91.24
STU0015,2023,8,excellent,89.5,22.1,Rare,Declining,1.5,0.7518,9.39,34.49,23.15,97.81,85.3,88.54,97.59,87.87,82.1,81.31,96.64
STU0015,2024,9,excellent,84.85,22.1,Regular,Stable,4.9,0.7436,17.63,34.54,33.25,97.82,86.42,88.16,97.39,88.65,81.28,80.95,96.36
STU0015,2025,10,excellent,93.26,22.1,Sometimes,Improving,7.9,0.7457,8.82,34.52,18.51,97.91,88.83,90.08,97.31,90.15,84.88,84.93,97.02
STU0016,2023,8,good,67.5,19.1,Sometimes,Improving,2,0.7861,6.78,14.77,36.74,95.61,97.55,97.97,97.18,89.21,84.1,94.83,96.83
STU0016,2024,9,good,75.76,19.1,Sometimes,Improving,5.3,0.7949,6.34,14.73,33.23,96.51,97.3,98.1,97.5,92.14,84.03,95.73,97.12
STU0016,2025,10,good,74.61,19.1,Sometimes,Improving,3.8,0.7892,6.44,14.73,34.41,96.94,97.71,98.02,97.69,92.11,83.86,96.02,96.88
STU0017,2023,8,irregular,54,7.8,Sometimes,Improving,5,0.5043,40.09,48.78,60.23,79.74,56.13,61.2,68.57,65.99,55.3,52.44,65.11
STU0017,2024,9,irregular,48.99,7.8,Sometimes,Improving,6.8,0.5128,39.24,48.84,59.87,79.46,59.24,64.79,69.69,67.83,56.42,54.88,65.54
STU0017,2025,10,irregular,57.51,7.8,Sometimes,Declining,4.2,0.5085,38.75,48.89,59.66,82.74,59.31,65.31,73.47,68.42,55.92,56.88,67.3
STU0018,2023,8,good,76.5,14.5,Rare,Stable,6.1,0.6667,20.61,15.04,43.03,96.94,73.84,90.19,82.73,93.99,66.83,89.92,92.14
STU0018,2024,9,good,73.74,14.5,Sometimes,Improving,2.9,0.6667,20.68,15.09,43.08,96.72,72.2,90.37,85.47,93.58,67.55,89.33,92.47
STU0018,2025,10,good,76.17,14.5,Sometimes,Declining,1.4,0.6667,20.79,15.1,43.13,96.18,72.13,92.09,83.74,94.91,66.45,89.2,92.3
STU0019,2023,8,irregular,44.5,7.2,Rare,Declining,7.5,0.3076,96.58,56.19,87.51,53.41,26.84,47.02,48.45,45.68,55.29,53.94,52.72
STU0019,2024,9,irregular,45.96,7.2,Sometimes,Improving,3.9,0.3077,96.68,56.2,87.56,50.03,27.4,47.54,47.26,47.4,54.51,54.31,52.29
STU0019,2025,10,irregular,47.67,7.2,Sometimes,Stable,1.7,0.307,100,56.13,89.03,49.83,30.39,48.82,49.16,47.05,54.96,54.27,53.47
STU0020,2023,8,excellent,87.5,14.5,Sometimes,Stable,3.4,0.9485,3.66,14.14,21.31,94.7,96.55,96.29,91.52,95.37,90.83,89.4,95.06
STU0020,2024,9,excellent,88.89,14.5,Regular,Stable,7.2,0.9487,3.48,14.05,18.21,94.81,95.5,97.14,92.3,97.02,91.51,89.62,95.31
STU0020,2025,10,excellent,85.49,14.5,Regular,Stable,5.8,0.9473,3.4,14.15,20.72,94.57,97.07,97.05,92.94,95.33,91.21,90.82,95.91
STU0021,2023,8,moderate,62,7.7,Rare,Declining,5.5,0.7089,49.27,41.95,62.66,68.33,58.64,70.33,32.02,64.42,76.93,84.95,64.47
STU0021,2024,9,moderate,61.11,7.7,Regular,Declining,5.6,0.7179,48.49,41.83,62.28,69.06,60.43,70.58,34.9,69.28,78.59,86.58,66.83
STU0021,2025,10,moderate,61.14,7.7,Regular,Improving,1.7,0.7101,47.54,41.89,61.86,73.54,64.75,74.28,34.85,69.88,81.07,86.71,69.51
STU0022,2023,8,excellent,81.5,23.8,Rare,Improving,6.7,0.8119,5.85,13.44,23.38,95.78,95.66,96.01,82.62,97.83,96.65,96.12,95.7
STU0022,2024,9,excellent,79.29,23.8,Rare,Declining,7.1,0.8205,5.55,13.49,27.32,95.82,96.14,96.85,83.25,97.73,96.69,96.54,96.13
STU0022,2025,10,excellent,83.94,23.8,Rare,Improving,6.6,0.8155,5.3,13.46,25.32,97.37,97.1,97.07,86.55,97.47,97.13,96.97,96.84
STU0023,2023,8,irregular,47,4.8,Regular,Stable,5.1,0.53,100,40.86,85.22,30.76,41.4,64.57,47.03,43.7,42.91,55.14,39.04
STU0023,2024,9,irregular,43.43,4.8,Rare,Improving,6.3,0.5385,100,40.93,85.23,35.48,43.85,66.76,49.79,45.32,46.98,58.14,43.71
STU0023,2025,10,irregular,45.6,4.8,Rare,Stable,4.5,0.5349,67.46,40.95,70.59,37.37,48.01,69.93,50.99,51.42,50.77,60.34,44.68
STU0024,2023,8,good,84.5,14.9,Rare,Improving,1.1,0.8633,16.6,10.39,27.73,95.4,76.92,81.99,72.85,87.31,92.5,97.01,75.03
STU0024,2024,9,good,75.76,14.9,Regular,Stable,5.7,0.8718,16,10.39,39.8,95.94,79.29,82.7,73.39,89.73,92.7,96.58,78.24
STU0024,2025,10,good,78.76,14.9,Regular,Declining,3.3,0.8682,15.54,10.4,37.46,95.42,81.13,86.37,76.56,88.83,94.02,95.98,80.85
STU0025,2023,8,good,70.5,18.9,Sometimes,Stable,1.6,0.6832,34.79,15.6,49.56,60.3,52.95,58.1,59.08,79.83,56.67,76.96,83.36
STU0025,2024,9,good,74.75,18.9,Regular,Stable,4.8,0.6923,33.13,15.62,48.81,62.25,54.86,64,63.32,83.47,62.93,80.87,84.67
STU0025,2025,10,good,76.68,18.9,Sometimes,Improving,7.1,0.6838,32.62,15.63,48.59,66.9,57.64,65.45,64.76,84.4,63.8,83.04,87.31
STU0026,2023,8,irregular,46.5,4.9,Sometimes,Stable,6.8,0.2818,100,47.88,86.97,41.97,44.35,21.66,53.91,49.54,40.78,46.45,22.5
STU0026,2024,9,irregular,43.94,4.9,Rare,Declining,5.1,0.2821,100,48.25,87.06,44.69,44.48,24.26,56.41,51.31,43.29,48.27,23.22
STU0026,2025,10,irregular,52.85,4.9,Sometimes,Improving,6.3,0.2806,100,48.13,87.03,45.62,46.04,26.31,58.3,51.51,43.68,48.11,24.65
STU0027,2023,8,good,70,17.8,Sometimes,Improving,4,0.9485,2.61,6.49,32.8,97.34,96.94,96.65,97.58,96.83,97.12,91.88,95.47
STU0027,2024,9,good,78.28,17.8,Rare,Improving,5,0.9487,2.32,6.5,27.03,97.65,96.96,97.1,98,97.58,97.66,93.97,96.1
STU0027,2025,10,good,80.31,17.8,Rare,Improving,2.7,0.9473,2.28,6.48,28.38,97.96,97.12,97.4,97.5,97.54,97.7,95.03,95.79
STU0028,2023,8,good,83,14.7,Rare,Declining,7.7,0.7182,27.23,17.47,38.19,97.19,85.54,83.1,96.26,81.06,66.8,76.01,92.93
STU0028,2024,9,good,76.77,14.7,Rare,Improving,8,0.7179,19.35,17.55,38.68,96.95,89.55,87.2,97.5,83.73,69.39,78.19,94.05
STU0028,2025,10,good,78.24,14.7,Regular,Improving,2.5,0.7194,18.82,17.48,42.61,97.23,89.86,88.92,97.19,85.8,70.19,81.77,95.64
STU0029,2023,8,good,62.5,18.7,Sometimes,Stable,1.3,0.7776,32.24,32.99,52.76,63.96,73.27,66.11,63,78.65,52.41,68.15,79.26
STU0029,2024,9,good,74.24,18.7,Sometimes,Stable,5.5,0.7692,31.42,32.95,48.49,68.52,74.97,68.17,67.38,79.81,54.12,72.48,82.3
STU0029,2025,10,good,76.17,18.7,Rare,Declining,5.9,0.7721,29.5,32.95,44.52,75.16,79.23,75,71.89,85.25,58.71,75.51,85.19
STU0030,2023,8,good,79.5,5.5,Sometimes,Improving,6.8,0.8713,23.55,33.93,44.08,85.08,69.99,95.57,86.95,88.36,87.65,93.51,74.03
STU0030,2024,9,good,74.24,5.5,Regular,Declining,7.1,0.8718,15.92,34.01,45.66,86.53,76.2,96.02,88.48,88.54,89.68,92.62,75.45
STU0030,2025,10,good,78.76,5.5,Regular,Declining,7.9,0.8682,15.1,33.95,39.55,89.36,77.12,96.69,90.59,92.29,90.83,94.56,78.91
STU0031,2023,8,excellent,82,23.7,Regular,Improving,4.3,0.9485,2.19,9.35,20.6,96.9,93.61,97.32,97.35,97.67,97.81,97.86,97.87
STU0031,2024,9,excellent,82.83,23.7,Rare,Improving,5.8,0.9487,2.08,9.34,19.48,97.94,94.51,97.25,97.65,97.8,98.11,97.92,97.63
STU0031,2025,10,excellent,84.97,23.7,Regular,Declining,6.3,0.9473,1.99,9.38,19,97.7,96.06,97.77,98.04,98.14,97.96,97.77,97.78
STU0032,2023,8,good,74.5,10.7,Rare,Declining,2.5,0.6924,19.6,13.86,42.29,97.56,89.76,76.58,97.88,86.13,72.97,77.47,97.58
STU0032,2024,9,good,71.21,10.7,Sometimes,Stable,1.8,0.6923,19.64,13.73,42.27,97.25,91.72,77.32,97.41,86.05,74.7,75.45,97.76
STU0032,2025,10,good,69.43,10.7,Sometimes,Declining,7,0.693,19.61,13.84,42.29,97.12,90.91,78.31,97.36,86.91,74.87,75.53,97.68
STU0033,2023,8,at-risk,27,1,Regular,Declining,1.2,0.2818,100,62.15,90.54,37.28,45.52,11.95,31.09,14.75,15.34,14.81,38.36
STU0033,2024,9,at-risk,23.74,1,Sometimes,Stable,7.3,0.2821,100,62.52,90.63,40.85,48,12.9,35.85,19.39,17.59,17.24,43.4
STU0033,2025,10,at-risk,27.46,1,Rare,Stable,7.3,0.2806,100,62.41,90.6,46.82,52.27,18.22,40.71,24.69,20.95,21.72,48.13
STU0034,2023,8,moderate,65,14.4,Sometimes,Declining,7.6,0.6667,10.33,20.08,39.67,88.27,91.13,92.23,88.33,93.68,84.47,94.77,93.41
STU0034,2024,9,moderate,65.15,14.4,Rare,Stable,4.4,0.6667,9.64,20.16,39.38,90.74,93.12,93.16,89.96,95.5,86.88,96.01,95.4
STU0034,2025,10,moderate,60.1,14.4,Regular,Improving,4.8,0.6667,9.06,20.1,39.1,91.89,94.02,95.17,92.07,97.19,89.07,96.97,95.92
STU0035,2023,8,excellent,77.5,24.8,Rare,Improving,5.9,0.8713,4.26,8.75,34.1,98.21,97.89,97.35,97.36,96.62,97.12,87.71,96.98
STU0035,2024,9,excellent,84.34,24.8,Rare,Declining,2.6,0.8718,4.22,8.84,24.5,98.08,97.66,97.33,97.43,97.11,95.92,88.5,96.87
STU0035,2025,10,excellent,83.42,24.8,Sometimes,Stable,4.2,0.8682,4.14,8.83,25.55,97.95,97.48,97.91,97.73,97.44,96.83,89.15,97.69
STU0036,2023,8,moderate,71,8.3,Sometimes,Declining,3.3,0.7518,34.27,20.79,50.62,76.84,59.13,75.63,60.92,70.66,60.11,53.31,64.35
STU0036,2024,9,moderate,73.23,8.3,Sometimes,Declining,1.4,0.7436,33.98,20.83,50.5,77.78,60.88,76.39,59.7,74.16,61.7,55.56,63.74
STU0036,2025,10,moderate,65.8,8.3,Sometimes,Stable,7.5,0.7457,33.61,20.82,50.33,78.01,58.61,79.23,60.06,73.9,64.32,53.05,68.66
STU0037,2023,8,excellent,86,19.2,Regular,Improving,2,0.7861,16.49,13.52,27.24,93.47,91.49,87.51,86.36,97.25,86.38,95.69,77.89
STU0037,2024,9,excellent,76.77,19.2,Sometimes,Stable,1.2,0.7949,7.67,13.39,33.28,92.05,93.03,91.16,88.85,97.42,88.49,96.99,79.11
STU0037,2025,10,excellent,84.46,19.2,Rare,Improving,4.9,0.7892,7.22,13.48,27.89,95.49,94.27,91.62,90.25,97.23,91.93,96.6,81.96
STU0038,2023,8,moderate,69,8.9,Sometimes,Improving,4.3,0.6244,23.05,22.98,46.12,64.04,97.16,83.91,80.71,78.72,87.21,77.15,76.97
STU0038,2024,9,moderate,69.7,8.9,Regular,Declining,6.2,0.6154,21.97,22.82,45.59,72.1,97.17,84.69,83.07,83.4,89.83,80.23,80.46
STU0038,2025,10,moderate,67.36,8.9,Sometimes,Improving,7.3,0.6232,21.03,22.95,45.2,76.19,97.44,87.38,84.37,83.84,92.45,81.16,82.8
STU0039,2023,8,good,77,19,Sometimes,Improving,4.4,0.7089,27.58,13.84,45.87,88.93,85.51,70.67,92.79,92.99,54.42,94.71,92.25
STU0039,2024,9,good,80.3,19,Rare,Improving,4.7,0.7179,19,13.72,33.22,93.89,90.31,76.51,94.35,96.31,59.24,95.6,95.03
STU0039,2025,10,good,78.76,19,Sometimes,Improving,2.8,0.7101,18.26,13.77,35.02,95.7,92.27,81.72,96.61,96.81,63.24,96.76,96.28
STU0040,2023,8,good,76.5,15.1,Sometimes,Stable,2.4,0.7861,27.57,10.87,45.12,92.58,89.86,77.56,95.01,73.13,68.49,55.17,93.57
STU0040,2024,9,good,74.24,15.1,Rare,Stable,4.7,0.7949,26.96,10.92,44.86,91.98,89.64,80.27,96.23,74.98,70.7,57.4,92.56
STU0040,2025,10,good,75.13,15.1,Rare,Improving,2.1,0.7892,26.56,10.88,44.67,94.82,91.24,79.13,96.86,74.66,71.79,58.95,93.4
STU0041,2023,8,excellent,81,23.8,Regular,Stable,1.9,0.8291,13.49,11.92,30.14,97.01,85.59,91.41,95.5,97.1,96.59,97.7,96.93
STU0041,2024,9,excellent,82.83,23.8,Regular,Declining,1.6,0.8205,5.24,11.88,27.83,97.24,89.54,93.44,96.71,97.55,97.1,98.04,97.03
STU0041,2025,10,excellent,83.42,23.8,Regular,Improving,4.3,0.8248,4.93,11.88,25.77,97.67,92.45,93.42,96.43,97.6,97.47,97.87,97.69
STU0042,2023,8,irregular,47,7.4,Sometimes,Declining,7.8,0.2818,100,74.74,93.68,47.67,33.69,21.85,37.61,11.31,26.22,27.34,43.77
STU0042,2024,9,irregular,49.49,7.4,Sometimes,Declining,1.5,0.2821,100,74.5,93.62,50.77,38.22,24.5,45.52,13.11,30.09,32.67,46.94
STU0042,2025,10,irregular,50.26,7.4,Regular,Declining,6.6,0.2806,100,74.69,93.67,56.36,39.56,28.35,49.3,14.62,35.05,37.12,52.77
STU0043,2023,8,moderate,62.5,13.1,Rare,Declining,4.7,0.5815,31.2,21.29,49.36,88.83,70.02,87.33,63.13,91.28,85.61,80.86,77.73
STU0043,2024,9,moderate,57.58,13.1,Regular,Declining,6,0.5897,30.19,21.35,48.92,90.14,72.5,88.7,64.56,93.3,87.29,82.57,80.18
STU0043,2025,10,moderate,59.07,13.1,Regular,Improving,3.5,0.5876,22.89,21.36,45.64,91.98,73.89,89.44,66.58,93.18,88.43,83.81,80.54
STU0044,2023,8,excellent,86.5,16.6,Sometimes,Stable,4.8,0.897,3.48,10.86,22.42,97.93,92.19,96.87,97.91,97.21,97.69,95.66,96.59
STU0044,2024,9,excellent,86.87,16.6,Regular,Improving,2,0.8974,3.25,10.94,21.36,97.87,94.23,97.31,97.33,97.47,97.74,97.04,97.21
STU0044,2025,10,excellent,86.01,16.6,Rare,Declining,8,0.8946,3.21,10.88,23.3,97.72,95.71,97.25,97.12,97.57,97.86,97.67,97.02
STU0045,2023,8,excellent,75.5,11.7,Sometimes,Declining,5,0.6924,46.8,19.86,49.17,61.28,52.87,71.84,63.88,53.27,49.25,51.23,52.72
STU0045,2024,9,excellent,81.82,11.7,Regular,Declining,6.9,0.6923,36.97,19.79,41.6,68.52,55.81,76.17,68.22,56.67,51.52,54.93,57.81
STU0045,2025,10,excellent,79.79,11.7,Regular,Improving,6.4,0.693,35.42,19.81,43.13,71.88,61.4,78.26,71.74,60.07,56.36,60.97,60.53
STU0046,2023,8,at-risk,21,2.4,Sometimes,Stable,6.8,0.2818,100,64.82,91.2,18.25,15.56,18.28,16.32,11.67,14.07,11.53,21.71
STU0046,2024,9,at-risk,23.23,2.4,Sometimes,Improving,4.2,0.2821,100,64.83,91.21,16.35,15.11,17.6,15.82,11.47,14.88,11.14,20.18
STU0046,2025,10,at-risk,27.46,2.4,Regular,Improving,5.3,0.2806,100,64.77,91.19,17.46,15.56,19.59,14.2,11.88,14.71,11.19,20.75
STU0047,2023,8,excellent,84.5,12.9,Regular,Stable,2.1,0.7346,28.59,17.15,37.51,89.76,79.47,75.64,64.93,92.72,84.34,85.94,61.04
STU0047,2024,9,excellent,84.34,12.9,Regular,Declining,7.5,0.7436,27.41,17.12,33.4,91.68,80.49,78.96,68.21,94.71,85.93,89.04,66.37
STU0047,2025,10,excellent,88.6,12.9,Rare,Improving,6.9,0.7365,26.65,17.12,31.27,92.09,85.19,80.87,71.17,95.65,88.05,90.25,68.24
STU0048,2023,8,moderate,66.5,8.4,Rare,Declining,3.3,0.6409,42.95,19.61,54.23,58.95,67.12,87.56,68.99,71.59,49.01,76.42,68.76
STU0048,2024,9,moderate,64.14,8.4,Regular,Stable,4.8,0.641,33.97,19.6,50.19,60.95,68.07,88.95,69.57,74.51,50.12,79.24,72.41
STU0048,2025,10,moderate,61.14,8.4,Regular,Improving,7.4,0.6403,33.44,19.62,49.96,63.76,71.13,91.48,72.76,76.1,52.26,79.65,73.51
STU0049,2023,8,moderate,70.5,3.1,Rare,Declining,1.2,0.7604,40.3,40.7,58.31,48.59,53.72,80.1,67.13,57.9,69.96,78.63,86.74
STU0049,2024,9,moderate,67.17,3.1,Rare,Declining,1.1,0.7692,31.26,40.67,54.24,51.02,56.62,83.35,70.77,60.32,73.17,78.56,86.77
STU0049,2025,10,moderate,68.91,3.1,Rare,Stable,5.2,0.7628,30.61,40.67,52.97,53.46,59.83,84.08,70.57,62.35,73.83,82.18,89.21
STU0050,2023,8,excellent,84,13.7,Rare,Declining,4.3,0.8805,23.8,8.87,29.78,93.77,78.61,87.01,82.45,90.69,85.02,87.43,68.11
STU0050,2024,9,excellent,87.88,13.7,Sometimes,Improving,1.5,0.8718,16.27,8.71,23.74,95.68,80.34,89.61,86.38,92.14,86.39,90.38,68.84
STU0050,2025,10,excellent,88.08,13.7,Rare,Improving,2.3,0.8775,22.4,8.76,25.57,96.42,82.65,91.1,87.31,92.95,88.18,90.99,73.66
STU0051,2023,8,excellent,86,19.8,Rare,Improving,5.5,0.9063,4.56,11.71,26.82,95.51,80.03,88.3,93.72,97.54,96.73,95.55,97.02
STU0051,2024,9,excellent,89.9,19.8,Rare,Improving,3.9,0.8974,4.42,11.75,19.65,96.31,83.04,91.14,92.44,97.37,97.23,95.65,97.8
STU0051,2025,10,excellent,85.49,19.8,Regular,Improving,6.6,0.9038,4.4,11.71,23.25,95.98,83.21,89.21,93.53,97.7,97.3,95.57,97.42
STU0052,2023,8,excellent,87,10.2,Sometimes,Improving,7.9,0.8633,14.75,12.72,27.85,97.84,85.02,92.95,95.15,97.62,83.75,79.73,93.61
STU0052,2024,9,excellent,79.8,10.2,Regular,Stable,7.3,0.8718,14.34,12.61,37.25,97.64,87.28,94.53,95.32,97.75,84.67,80.7,93.96
STU0052,2025,10,excellent,81.35,10.2,Rare,Stable,7.1,0.8682,6.23,12.65,30.58,97.89,87.08,95.49,95.43,97.62,84.38,81.68,95.04
STU0053,2023,8,irregular,31,8.1,Regular,Stable,3.4,0.2818,100,30.42,82.6,39.53,47.55,30.7,37.6,33.25,34.41,37.07,47.22
STU0053,2024,9,irregular,38.38,8.1,Rare,Stable,6.4,0.2821,100,30.51,82.63,43.16,51.07,33.36,36.36,35.71,35.29,38.6,49.81
STU0053,2025,10,irregular,37.31,8.1,Sometimes,Improving,4.4,0.2806,100,30.38,82.6,46.6,54.73,34.93,40.99,39.78,39.79,41.23,52.82
STU0054,2023,8,excellent,86,23.6,Regular,Declining,5.4,0.9148,13.3,10.85,29.64,92,90.57,84.75,83.4,96.76,90.67,97.08,90.35
STU0054,2024,9,excellent,91.92,23.6,Sometimes,Stable,5.8,0.9231,4.36,10.83,16.26,95.61,92.06,87.76,86.88,97.21,92.86,97.58,92.32
STU0054,2025,10,excellent,86.53,23.6,Rare,Declining,1.5,0.9209,3.55,10.84,20.64,96.65,95.56,92.16,90.31,97.43,95.05,97.35,94.78
STU0055,2023,8,good,81.5,7.4,Rare,Declining,2.8,0.7182,28.89,36.88,43.21,95.11,79.01,84.56,91.23,77.59,58.24,91.79,67.63
STU0055,2024,9,good,78.79,7.4,Sometimes,Stable,3.8,0.7179,28.84,36.76,43.72,94.25,80.57,85.03,91.87,79.61,56.88,90.17,67.76
STU0055,2025,10,good,76.17,7.4,Regular,Declining,6.2,0.7194,28.29,36.85,50.35,94.68,82.94,87.09,94.16,80.24,57.48,91.55,68.18
STU0056,2023,8,good,80,11.5,Rare,Improving,3.5,0.7261,35.49,19.42,44.83,84.22,63.28,52.87,61.87,62.09,54.96,69.11,55.69
STU0056,2024,9,good,80.3,11.5,Sometimes,Declining,7.7,0.7179,34.01,19.47,42.31,87.09,64.77,58.76,65.64,65.73,59.78,73.79,61.15
