student_id,year,grade,attendance_category,attendance_rate,days_present,total_days,avg_score,score_std,min_score,max_score,iq_level,study_hours_per_week,student_type,has_tuition,has_learning_difficulty,failing_subjects,weak_subjects,homework_completion_rate,homework_on_time_rate,classwork_completion_rate,parent_engagement_score,parent_meeting_attendance_rate,lms_time_hours,lms_engagement_score,health_status,absences_due_to_sickness,health_incidents,attendance_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,risk_level,risk_category,Buddhism_score,English_score,Geography_score,History_score,ICT_score,Mathematics_score,Science_score,Sinhala_score,had_intervention,intervention_type,intervention_effective
STU0005,2023,8,moderate,75.0,150,200,74.22,14.36,25.0,100.0,108,11.3,balanced,0,0,1,0,0.6409,0.5603,0.682,0.5984,0.3333,62.12,0.5726,good,25,3,92.5,32.49,23.61,48.28,Medium,Medium Risk,79.37,79.11,78.09,84.57,70.93,61.4,62.22,87.05,0,None,0
STU0005,2024,9,moderate,64.14,127,198,76.62,14.13,39.9,100.0,108,11.3,balanced,0,0,0,1,0.641,0.56,0.6769,0.5984,0.3333,93.47,0.5726,good,48,3,100.0,24.53,23.69,46.96,High,High Risk,81.67,81.91,79.81,87.3,73.29,64.21,64.19,88.77,0,None,0
STU0005,2025,10,moderate,69.95,135,193,77.95,13.21,36.1,100.0,108,11.3,balanced,0,0,0,1,0.6403,0.5617,0.6791,0.5984,0.3333,57.8,0.5726,good,30,0,100.0,24.02,23.64,46.72,High,High Risk,81.0,82.58,80.05,88.44,75.4,66.03,66.59,91.4,1,Tutoring,1
STU0006,2023,8,good,81.0,162,200,87.59,12.28,29.8,100.0,104,11.1,language_oriented,0,0,1,0,0.8376,0.6423,0.882,0.7901,0.6667,162.77,0.8931,poor,34,8,100.0,23.21,11.15,43.23,Medium,Medium Risk,94.0,89.02,92.03,96.38,89.87,80.92,71.62,94.52,0,None,0
STU0006,2024,9,good,75.76,150,198,89.19,11.05,43.6,100.0,104,11.1,language_oriented,0,0,0,1,0.8462,0.6364,0.8769,0.7901,0.6667,76.7,0.8931,poor,42,5,100.0,15.4,11.28,39.75,Medium,Medium Risk,95.16,90.75,93.3,97.01,91.07,83.44,75.9,94.77,0,None,0
STU0006,2025,10,good,77.2,149,193,90.86,10.22,46.6,100.0,104,11.1,language_oriented,0,0,0,1,0.8419,0.6354,0.8791,0.7901,0.6667,97.82,0.8931,poor,35,2,100.0,14.82,11.26,39.48,Medium,Medium Risk,96.4,93.0,93.77,97.49,91.3,85.17,78.77,96.73,0,None,0
STU0007,2023,8,moderate,59.0,118,200,72.19,14.25,26.9,100.0,82,19.7,balanced,1,0,1,0,0.6409,0.5859,0.7073,0.6763,0.6667,79.87,0.6432,below_average,65,8,100.0,33.3,20.36,50.08,High,High Risk,72.29,85.22,80.89,73.26,70.21,57.16,64.14,81.67,0,None,0
STU0007,2024,9,moderate,65.66,130,198,74.69,14.3,31.3,100.0,82,19.7,balanced,1,0,1,0,0.641,0.6,0.7077,0.6763,0.6667,76.15,0.6432,below_average,48,1,100.0,32.31,20.21,49.59,High,High Risk,75.73,88.58,83.68,76.47,70.73,59.03,67.23,84.12,0,None,0
STU0007,2025,10,moderate,62.69,121,193,77.69,13.67,32.0,100.0,82,19.7,balanced,1,0,1,0,0.6403,0.5884,0.7051,0.6763,0.6667,83.85,0.6432,below_average,51,8,100.0,31.12,20.36,49.09,High,High Risk,79.15,90.46,83.89,79.78,74.49,61.76,70.77,88.23,1,Counseling,1
STU0008,2023,8,good,70.0,140,200,61.84,19.36,6.2,100.0,87,8.1,language_oriented,0,1,1,1,0.6667,0.5,0.6772,0.7911,0.6667,92.77,0.7481,good,35,5,100.0,44.93,37.8,59.67,Medium,Medium Risk,76.84,56.61,71.45,83.08,61.75,50.05,35.25,79.25,0,None,0
STU0008,2024,9,good,76.26,151,198,63.42,19.92,8.8,100.0,87,8.1,language_oriented,0,1,2,0,0.6667,0.5,0.6769,0.7911,0.6667,113.7,0.7481,good,25,0,91.62,51.3,37.8,60.02,High,High Risk,78.4,58.5,75.1,84.48,61.04,50.07,34.85,79.66,1,Academic Advising,1
STU0008,2025,10,good,73.06,141,193,63.65,19.53,9.3,100.0,87,8.1,language_oriented,0,1,1,2,0.6667,0.5,0.6791,0.7911,0.6667,105.5,0.7481,good,33,3,100.0,52.21,37.77,62.94,High,High Risk,78.96,58.16,74.38,85.78,62.48,48.54,35.86,79.13,1,Counseling,0
STU0009,2023,8,moderate,66.0,132,200,37.62,13.87,5.1,78.6,98,4.7,science_oriented,0,0,4,6,0.3591,0.3089,0.4463,0.5524,0.3333,60.68,0.6529,good,36,3,100.0,100.0,49.37,87.34,High,High Risk,28.68,23.81,39.68,48.47,40.91,49.81,39.14,25.87,0,None,0
STU0009,2024,9,moderate,74.75,148,198,38.22,14.11,7.1,76.2,98,4.7,science_oriented,0,0,4,5,0.359,0.2857,0.4462,0.5524,0.3333,91.2,0.6529,good,31,1,100.0,100.0,49.61,87.4,High,High Risk,30.89,23.13,43.24,48.67,42.6,50.09,39.78,24.58,0,None,0
STU0009,2025,10,moderate,65.8,127,193,38.88,13.57,6.0,74.4,98,4.7,science_oriented,0,0,4,5,0.3597,0.293,0.4474,0.5524,0.3333,67.03,0.6529,good,38,1,100.0,100.0,49.52,87.38,High,High Risk,30.98,25.19,42.15,48.27,45.06,50.39,39.8,27.01,0,None,0
STU0010,2023,8,good,71.0,142,200,74.74,12.67,30.0,100.0,103,21.3,balanced,0,1,1,0,0.6667,0.5,0.718,0.7316,0.6667,160.77,0.8278,below_average,45,8,100.0,31.77,37.18,53.59,Medium,Medium Risk,83.98,71.97,73.77,78.53,73.46,69.57,69.27,82.05,0,None,0
STU0010,2024,9,good,73.23,145,198,75.81,12.17,38.4,100.0,103,21.3,balanced,0,1,0,1,0.6667,0.5,0.7231,0.7316,0.6667,104.25,0.8278,below_average,38,6,100.0,24.34,37.1,50.23,Medium,Medium Risk,85.53,75.0,73.85,79.91,72.51,73.29,68.81,81.11,0,None,0
STU0010,2025,10,good,80.83,156,193,76.07,12.19,34.7,100.0,103,21.3,balanced,0,1,1,0,0.6667,0.5,0.7209,0.7316,0.6667,122.62,0.8278,below_average,31,11,100.0,31.24,37.14,53.34,Medium,Medium Risk,84.79,75.01,74.67,79.06,74.41,73.05,69.42,83.04,0,None,0
STU0011,2023,8,excellent,88.5,177,200,96.28,5.27,60.4,100.0,106,22.0,science_oriented,0,0,0,0,0.8119,0.6845,0.9026,0.7144,0.6667,73.82,0.832,excellent,12,1,44.05,5.25,12.85,18.79,Low,Low Risk,97.87,85.8,97.79,97.84,97.92,97.31,97.82,98.05,0,None,0
STU0011,2024,9,excellent,93.43,185,198,96.17,5.4,59.7,100.0,106,22.0,science_oriented,0,0,0,0,0.8205,0.6875,0.9077,0.7144,0.6667,117.63,0.832,excellent,6,0,22.6,5.12,12.74,12.27,Low,Low Risk,97.75,85.89,97.55,97.97,97.74,97.53,97.91,97.7,0,None,0
STU0011,2025,10,excellent,90.16,174,193,96.63,4.77,59.9,100.0,106,22.0,science_oriented,0,0,0,0,0.8155,0.6882,0.9051,0.7144,0.6667,150.25,0.832,excellent,7,0,27.89,5.04,12.77,13.83,Low,Low Risk,97.72,88.85,97.67,98.0,97.8,97.87,98.27,97.7,0,None,0
STU0012,2023,8,moderate,67.5,135,200,61.2,19.85,14.2,100.0,70,9.1,language_oriented,1,0,1,2,0.5472,0.4682,0.6,0.6126,0.6667,63.68,0.7149,excellent,35,3,100.0,55.57,23.34,60.84,High,High Risk,72.64,37.77,70.18,81.83,61.4,38.59,59.61,82.76,0,None,0
STU0012,2024,9,moderate,65.66,130,198,63.22,19.7,11.1,100.0,70,9.1,language_oriented,1,0,1,2,0.5385,0.4762,0.6,0.6126,0.6667,63.07,0.7149,excellent,34,2,100.0,54.94,23.26,60.54,High,High Risk,76.05,39.14,72.52,82.16,61.05,41.87,60.38,85.82,1,Tutoring,1
STU0012,2025,10,moderate,68.91,133,193,64.0,20.32,12.8,100.0,70,9.1,language_oriented,1,0,1,2,0.5442,0.4675,0.6,0.6126,0.6667,79.68,0.7149,excellent,34,1,100.0,54.52,23.35,60.37,High,High Risk,76.78,38.51,75.26,84.9,62.21,44.58,60.39,87.89,1,Study Skills Workshop,0
STU0013,2023,8,excellent,88.0,176,200,95.0,6.4,60.0,100.0,96,23.1,language_oriented,1,0,0,0,0.897,0.6946,0.9798,0.6758,0.6667,105.58,0.754,excellent,11,0,41.4,4.06,13.53,17.63,Low,Low Risk,97.67,97.95,87.45,97.49,96.71,89.59,97.61,95.18,0,None,0
STU0013,2024,9,excellent,86.36,171,198,95.57,5.68,60.8,100.0,96,23.1,language_oriented,1,0,0,0,0.8974,0.6857,0.9846,0.6758,0.6667,166.85,0.754,excellent,15,3,54.55,3.82,13.55,21.47,Low,Low Risk,97.5,97.69,90.39,97.75,97.37,90.99,98.02,95.72,0,None,0
STU0013,2025,10,excellent,86.53,167,193,95.93,5.18,54.6,100.0,96,23.1,language_oriented,1,0,0,0,0.8946,0.6863,0.9842,0.6758,0.6667,96.53,0.754,excellent,12,3,45.43,3.73,13.55,18.7,Low,Low Risk,97.67,97.85,92.33,97.79,97.89,91.16,97.73,96.03,0,None,0
STU0014,2023,8,moderate,67.0,134,200,91.06,9.38,51.6,100.0,111,16.0,science_oriented,1,0,0,0,0.897,0.8381,0.9846,0.6046,0.3333,54.25,0.7909,good,38,2,100.0,5.64,12.9,35.76,High,High Risk,92.53,76.31,95.3,94.67,91.24,94.09,94.15,90.36,0,None,0
STU0014,2024,9,moderate,67.68,134,198,92.49,8.49,56.0,100.0,111,16.0,science_oriented,1,0,0,0,0.8974,0.8286,0.9846,0.6046,0.3333,92.25,0.7909,good,41,1,100.0,5.05,12.99,35.52,High,High Risk,94.78,78.28,95.2,95.82,94.24,95.55,95.61,91.42,1,Mentoring Program,1
STU0014,2025,10,moderate,70.98,137,193,93.37,8.13,51.8,100.0,111,16.0,science_oriented,1,0,0,0,0.8946,0.8336,0.9842,0.6046,0.3333,93.43,0.7909,good,37,0,100.0,4.76,12.95,35.38,Medium,Medium Risk,94.7,82.46,96.32,96.67,94.99,95.81,95.39,91.24,1,Tutoring,1
STU0015,2023,8,excellent,89.5,179,200,88.94,10.25,52.6,100.0,123,22.1,language_oriented,0,1,0,0,0.7518,0.5908,0.7846,0.679,0.6667,147.32,0.95,excellent,9,0,34.35,9.39,34.49,23.15,Low,Low Risk,97.81,85.3,88.54,97.59,87.87,82.1,81.31,96.64,0,None,0
STU0015,2024,9,excellent,84.85,168,198,88.75,10.72,42.6,100.0,123,22.1,language_oriented,0,1,0,1,0.7436,0.5862,0.7846,0.679,0.6667,126.22,0.95,excellent,15,1,55.61,17.63,34.54,33.25,Medium,Medium Risk,97.82,86.42,88.16,97.39,88.65,81.28,80.95,96.36,0,None,0
STU0015,2025,10,excellent,93.26,180,193,90.67,9.18,56.0,100.0,123,22.1,language_oriented,0,1,0,0,0.7457,0.5883,0.7842,0.679,0.6667,118.9,0.95,excellent,5,0,19.72,8.82,34.52,18.51,Low,Low Risk,97.91,88.83,90.08,97.31,90.15,84.88,84.93,97.02,0,None,0
STU0016,2023,8,good,67.5,135,200,93.75,7.93,53.0,100.0,128,19.1,practical,0,0,0,0,0.7861,0.6415,0.8309,0.7455,0.6667,178.87,0.763,good,39,1,100.0,6.78,14.77,36.74,High,High Risk,95.61,97.55,97.97,97.18,89.21,84.1,94.83,96.83,0,None,0
STU0016,2024,9,good,75.76,150,198,94.4,7.24,53.1,100.0,128,19.1,practical,0,0,0,0,0.7949,0.6452,0.8308,0.7455,0.6667,178.72,0.763,good,24,0,88.97,6.34,14.73,33.23,Medium,Medium Risk,96.51,97.3,98.1,97.5,92.14,84.03,95.73,97.12,1,Parent Meeting,1
STU0016,2025,10,good,74.61,144,193,94.45,7.51,52.8,100.0,128,19.1,practical,0,0,0,0,0.7892,0.6444,0.8316,0.7455,0.6667,92.97,0.763,good,25,2,92.77,6.44,14.73,34.41,Medium,Medium Risk,96.94,97.71,98.02,97.69,92.11,83.86,96.02,96.88,1,Study Group,0
STU0017,2023,8,irregular,54.0,108,200,62.07,14.13,20.9,100.0,108,7.8,language_oriented,0,0,1,0,0.5043,0.4058,0.5846,0.4921,0.3333,28.55,0.5698,good,55,1,100.0,40.09,48.78,60.23,High,High Risk,79.74,56.13,61.2,68.57,65.99,55.3,52.44,65.11,0,None,0
STU0017,2024,9,irregular,48.99,97,198,63.77,14.01,21.1,100.0,108,7.8,language_oriented,0,0,1,0,0.5128,0.4,0.5846,0.4921,0.3333,52.32,0.5698,good,64,2,100.0,39.24,48.84,59.87,High,High Risk,79.46,59.24,64.79,69.69,67.83,56.42,54.88,65.54,0,None,0
STU0017,2025,10,irregular,57.51,111,193,65.2,14.02,25.4,100.0,108,7.8,language_oriented,0,0,1,0,0.5085,0.3963,0.5842,0.4921,0.3333,51.13,0.5698,good,50,0,100.0,38.75,48.89,59.66,High,High Risk,82.74,59.31,65.31,73.47,68.42,55.92,56.88,67.3,1,Tutoring,1
STU0018,2023,8,good,76.5,153,200,85.15,13.68,35.7,100.0,87,14.5,practical,0,0,0,1,0.6667,0.6277,0.6871,0.7784,0.6667,167.12,0.8538,below_average,37,7,100.0,20.61,15.04,43.03,Medium,Medium Risk,96.94,73.84,90.19,82.73,93.99,66.83,89.92,92.14,0,None,0
STU0018,2024,9,good,73.74,146,198,84.97,13.52,40.1,100.0,87,14.5,practical,0,0,0,1,0.6667,0.6154,0.6923,0.7784,0.6667,114.38,0.8538,below_average,44,2,100.0,20.68,15.09,43.08,Medium,Medium Risk,96.72,72.2,90.37,85.47,93.58,67.55,89.33,92.47,0,None,0
STU0018,2025,10,good,76.17,147,193,84.69,14.2,37.4,100.0,87,14.5,practical,0,0,0,1,0.6667,0.6186,0.6893,0.7784,0.6667,94.42,0.8538,below_average,40,2,100.0,20.79,15.1,43.13,Medium,Medium Risk,96.18,72.13,92.09,83.74,94.91,66.45,89.2,92.3,0,None,0
STU0019,2023,8,irregular,44.5,89,200,48.16,12.95,8.0,86.3,91,7.2,balanced,1,0,2,4,0.3076,0.2512,0.3846,0.3732,0.3333,22.18,0.538,good,73,1,100.0,96.58,56.19,87.51,High,High Risk,53.41,26.84,47.02,48.45,45.68,55.29,53.94,52.72,0,None,0
STU0019,2024,9,irregular,45.96,91,198,47.92,12.95,9.0,77.6,91,7.2,balanced,1,0,2,4,0.3077,0.25,0.3846,0.3732,0.3333,46.72,0.538,good,67,2,100.0,96.68,56.2,87.56,High,High Risk,50.03,27.4,47.54,47.26,47.4,54.51,54.31,52.29,1,Tutoring,1
STU0019,2025,10,irregular,47.67,92,193,48.77,12.17,7.5,80.3,91,7.2,balanced,1,0,2,5,0.307,0.2576,0.3842,0.3732,0.3333,26.67,0.538,good,52,0,100.0,100.0,56.13,89.03,High,High Risk,49.83,30.39,48.82,49.16,47.05,54.96,54.27,53.47,1,Counseling,1
STU0020,2023,8,excellent,87.5,175,200,93.42,7.13,55.6,100.0,103,14.5,practical,1,0,0,0,0.9485,0.7202,0.9537,0.6595,0.6667,146.85,0.7439,good,15,2,53.75,3.66,14.14,21.31,Low,Low Risk,94.7,96.55,96.29,91.52,95.37,90.83,89.4,95.06,0,None,0
STU0020,2024,9,excellent,88.89,176,198,93.85,6.93,52.7,100.0,103,14.5,practical,1,0,0,0,0.9487,0.7297,0.9538,0.6595,0.6667,150.48,0.7439,good,12,3,43.78,3.48,14.05,18.21,Low,Low Risk,94.81,95.5,97.14,92.3,97.02,91.51,89.62,95.31,0,None,0
STU0020,2025,10,excellent,85.49,165,193,94.12,6.76,61.5,100.0,103,14.5,practical,1,0,0,0,0.9473,0.7218,0.9526,0.6595,0.6667,123.57,0.7439,good,14,0,52.16,3.4,14.15,20.72,Low,Low Risk,94.57,97.07,97.05,92.94,95.33,91.21,90.82,95.91,0,None,0
STU0021,2023,8,moderate,62.0,124,200,66.38,17.76,11.6,100.0,109,7.7,science_oriented,1,0,2,0,0.7089,0.6024,0.718,0.6667,0.6667,96.95,0.5279,average,59,0,100.0,49.27,41.95,62.66,High,High Risk,68.33,58.64,70.33,32.02,64.42,76.93,84.95,64.47,0,None,0
STU0021,2024,9,moderate,61.11,121,198,67.89,17.48,9.5,100.0,109,7.7,science_oriented,1,0,2,0,0.7179,0.6071,0.7231,0.6667,0.6667,90.08,0.5279,average,60,2,100.0,48.49,41.83,62.28,High,High Risk,69.06,60.43,70.58,34.9,69.28,78.59,86.58,66.83,1,Study Skills Workshop,1
STU0021,2025,10,moderate,61.14,118,193,70.64,17.34,10.0,100.0,109,7.7,science_oriented,1,0,2,0,0.7101,0.6048,0.7209,0.6667,0.6667,91.37,0.5279,average,56,4,100.0,47.54,41.89,61.86,High,High Risk,73.54,64.75,74.28,34.85,69.88,81.07,86.71,69.51,1,Parent Meeting,1
STU0022,2023,8,excellent,81.5,163,200,94.78,6.93,57.8,100.0,77,23.8,science_oriented,1,0,0,0,0.8119,0.6528,0.882,0.6274,0.3333,77.02,0.95,excellent,15,2,57.95,5.85,13.44,23.38,Medium,Medium Risk,95.78,95.66,96.01,82.62,97.83,96.65,96.12,95.7,0,None,0
STU0022,2024,9,excellent,79.29,157,198,95.11,6.57,60.4,100.0,77,23.8,science_oriented,1,0,0,0,0.8205,0.6562,0.8769,0.6274,0.3333,140.72,0.95,excellent,19,1,71.49,5.55,13.49,27.32,Medium,Medium Risk,95.82,96.14,96.85,83.25,97.73,96.69,96.54,96.13,1,Parent Meeting,1
STU0022,2025,10,excellent,83.94,162,193,95.99,5.63,57.1,100.0,77,23.8,science_oriented,1,0,0,0,0.8155,0.6559,0.8791,0.6274,0.3333,94.77,0.95,excellent,18,2,65.24,5.3,13.46,25.32,Medium,Medium Risk,97.37,97.1,97.07,86.55,97.47,97.13,96.97,96.84,0,None,0
STU0023,2023,8,irregular,47.0,94,200,45.71,13.65,7.7,93.0,108,4.8,practical,0,0,2,6,0.53,0.4347,0.6154,0.8896,0.6667,26.6,0.5176,average,69,1,100.0,100.0,40.86,85.22,High,High Risk,30.76,41.4,64.57,47.03,43.7,42.91,55.14,39.04,0,None,0
STU0023,2024,9,irregular,43.43,86,198,49.03,13.23,12.1,90.9,108,4.8,practical,0,0,1,7,0.5385,0.4286,0.6154,0.8896,0.6667,70.13,0.5176,average,83,0,100.0,100.0,40.93,85.23,High,High Risk,35.48,43.85,66.76,49.79,45.32,46.98,58.14,43.71,0,None,0
STU0023,2025,10,irregular,45.6,88,193,52.1,13.12,14.1,87.8,108,4.8,practical,0,0,1,3,0.5349,0.4261,0.6158,0.8896,0.6667,59.85,0.5176,average,70,3,100.0,67.46,40.95,70.59,High,High Risk,37.37,48.01,69.93,50.99,51.42,50.77,60.34,44.68,1,Tutoring,1
STU0024,2023,8,good,84.5,169,200,85.32,12.75,38.3,100.0,109,14.9,science_oriented,0,0,0,1,0.8633,0.7424,0.918,0.8171,0.6667,148.97,0.8046,good,16,4,58.85,16.6,10.39,27.73,Medium,Medium Risk,95.4,76.92,81.99,72.85,87.31,92.5,97.01,75.03,0,None,0
STU0024,2024,9,good,75.76,150,198,86.42,12.24,40.9,100.0,109,14.9,science_oriented,0,0,0,1,0.8718,0.7353,0.9231,0.8171,0.6667,136.02,0.8046,good,32,4,100.0,16.0,10.39,39.8,Medium,Medium Risk,95.94,79.29,82.7,73.39,89.73,92.7,96.58,78.24,1,Academic Advising,1
STU0024,2025,10,good,78.76,152,193,87.73,10.92,46.0,100.0,109,14.9,science_oriented,0,0,0,1,0.8682,0.7375,0.9209,0.8171,0.6667,179.72,0.8046,good,26,0,92.87,15.54,10.4,37.46,Medium,Medium Risk,95.42,81.13,86.37,76.56,88.83,94.02,95.98,80.85,0,None,0
STU0025,2023,8,good,70.5,141,200,66.36,16.05,25.6,100.0,88,18.9,balanced,0,0,1,0,0.6832,0.5496,0.6974,0.8046,0.6667,177.0,0.8233,average,38,3,100.0,34.79,15.6,49.56,Medium,Medium Risk,60.3,52.95,58.1,59.08,79.83,56.67,76.96,83.36,0,None,0
STU0025,2024,9,good,74.75,148,198,70.05,15.49,17.1,100.0,88,18.9,balanced,0,0,1,0,0.6923,0.5556,0.6923,0.8046,0.6667,172.75,0.8233,average,34,1,100.0,33.13,15.62,48.81,Medium,Medium Risk,62.25,54.86,64.0,63.32,83.47,62.93,80.87,84.67,0,None,0
STU0025,2025,10,good,76.68,148,193,71.75,15.53,33.1,100.0,88,18.9,balanced,0,0,1,0,0.6838,0.5509,0.6949,0.8046,0.6667,120.15,0.8233,average,30,3,100.0,32.62,15.63,48.59,Medium,Medium Risk,66.9,57.64,65.45,64.76,84.4,63.8,83.04,87.31,0,None,0
STU0026,2023,8,irregular,46.5,93,200,40.1,14.47,6.5,78.4,95,4.9,science_oriented,0,0,3,6,0.2818,0.2106,0.3438,0.8723,0.6667,48.75,0.4941,excellent,62,1,100.0,100.0,47.88,86.97,High,High Risk,41.97,44.35,21.66,53.91,49.54,40.78,46.45,22.5,0,None,0
STU0026,2024,9,irregular,43.94,87,198,41.92,14.43,4.4,84.5,95,4.9,science_oriented,0,0,3,5,0.2821,0.1818,0.3385,0.8723,0.6667,46.68,0.4941,excellent,59,1,100.0,100.0,48.25,87.06,High,High Risk,44.69,44.48,24.26,56.41,51.31,43.29,48.27,23.22,1,Parent Meeting,1
STU0026,2025,10,irregular,52.85,102,193,42.89,14.12,8.2,79.0,95,4.9,science_oriented,0,0,3,5,0.2806,0.1879,0.3423,0.8723,0.6667,43.5,0.4941,excellent,54,1,100.0,100.0,48.13,87.03,High,High Risk,45.62,46.04,26.31,58.3,51.51,43.68,48.11,24.65,1,Study Skills Workshop,0
STU0027,2023,8,good,70.0,140,200,96.06,5.06,62.4,100.0,94,17.8,balanced,0,0,0,0,0.9485,0.7572,0.9846,0.8458,0.6667,150.3,0.95,good,31,0,100.0,2.61,6.49,32.8,Medium,Medium Risk,97.34,96.94,96.65,97.58,96.83,97.12,91.88,95.47,0,None,0
STU0027,2024,9,good,78.28,155,198,96.78,3.87,72.8,100.0,94,17.8,balanced,0,0,0,0,0.9487,0.7568,0.9846,0.8458,0.6667,172.53,0.95,good,22,2,81.2,2.32,6.5,27.03,Medium,Medium Risk,97.65,96.96,97.1,98.0,97.58,97.66,93.97,96.1,0,None,0
STU0027,2025,10,good,80.31,155,193,96.94,3.6,67.8,100.0,94,17.8,balanced,0,0,0,0,0.9473,0.7594,0.9842,0.8458,0.6667,144.22,0.95,good,24,6,85.78,2.28,6.48,28.38,Medium,Medium Risk,97.96,97.12,97.4,97.5,97.54,97.7,95.03,95.79,1,Academic Advising,1
STU0028,2023,8,good,83.0,166,200,83.52,13.8,30.3,100.0,92,14.7,language_oriented,0,0,1,0,0.7182,0.5358,0.7438,0.7658,0.6667,114.27,0.7135,good,20,1,71.9,27.23,17.47,38.19,Medium,Medium Risk,97.19,85.54,83.1,96.26,81.06,66.8,76.01,92.93,0,None,0
STU0028,2024,9,good,76.77,152,198,85.72,12.74,39.5,100.0,92,14.7,language_oriented,0,0,0,1,0.7179,0.5357,0.7385,0.7658,0.6667,122.57,0.7135,good,23,1,85.26,19.35,17.55,38.68,Medium,Medium Risk,96.95,89.55,87.2,97.5,83.73,69.39,78.19,94.05,1,Study Group,0
