attendance,avg_marks,study_hours,homework_rate,screen_time,study_consistency,recommendation_1,recommendation_2,recommendation_3
97.4,71.4,9.6,47.3,6.5,14.2,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,ScreenTime_Critical
96.4,63.5,10.9,61.1,7.8,78.7,Combo_HighScreen_LowHomework,ScreenTime_Critical,Attendance_Success
69.6,48.2,5.3,97.9,6.6,42.0,Attendance_Critical,StudyHours_Critical,ScreenTime_Critical
71.6,52.1,17.2,87.4,6.4,38.3,Attendance_Critical,ScreenTime_Critical,Consistency_Warning
72.2,88.2,9.8,31.1,2.0,20.4,Combo_LowStudy_LowConsistency,Attendance_Critical,Consistency_Warning
55.4,79.1,5.8,95.8,5.2,57.7,Attendance_Critical,StudyHours_Critical,ScreenTime_Critical
70.5,48.4,18.7,75.5,3.1,18.8,Combo_HighStudy_LowMarks,Attendance_Critical,ScreenTime_Warning
64.0,27.4,6.1,86.4,6.9,48.9,Attendance_Critical,StudyHours_Critical,Marks_Critical
55.9,88.3,18.0,93.3,1.8,58.5,Attendance_Critical,StudyHours_Success,Marks_Success
87.7,88.9,5.7,57.1,2.2,57.4,StudyHours_Critical,Marks_Success,General_Balanced
73.7,48.8,16.7,88.3,6.7,29.8,Combo_HighStudy_LowMarks,Attendance_Critical,ScreenTime_Critical
77.3,48.8,11.5,88.0,6.2,49.5,Attendance_Warning,ScreenTime_Critical,General_Balanced
94.3,46.5,3.0,78.7,4.0,25.6,Combo_LowStudy_LowConsistency,StudyHours_Critical,ScreenTime_Warning
61.8,40.3,19.6,87.6,7.6,66.5,Combo_HighStudy_LowMarks,Attendance_Critical,ScreenTime_Critical
85.3,78.1,8.8,37.8,2.0,43.2,General_Balanced,General_Balanced,General_Balanced
83.9,31.6,12.7,53.2,5.4,77.5,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Warning
65.7,39.3,7.8,96.2,5.6,28.0,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
74.4,44.0,2.9,96.1,2.2,63.6,Attendance_Critical,StudyHours_Critical,General_Balanced
56.5,57.5,6.5,83.4,1.1,83.3,Attendance_Critical,StudyHours_Critical,Consistency_Success
92.2,59.7,14.7,77.3,5.0,60.7,ScreenTime_Critical,General_Balanced,General_Balanced
78.5,30.0,6.4,34.1,6.0,80.2,Combo_HighScreen_LowHomework,Attendance_Warning,StudyHours_Critical
59.5,89.4,16.5,98.6,5.8,78.7,Attendance_Critical,ScreenTime_Critical,StudyHours_Success
94.9,64.0,17.5,84.0,1.2,70.3,StudyHours_Success,General_Balanced,General_Balanced
85.3,75.4,16.3,67.3,3.0,69.5,StudyHours_Success,General_Balanced,General_Balanced
57.9,80.9,3.5,62.6,3.0,51.0,Attendance_Critical,StudyHours_Critical,ScreenTime_Warning
66.3,26.5,14.9,78.7,5.8,55.4,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
60.6,32.2,9.5,64.3,5.2,97.8,Combo_HighScreen_LowHomework,Attendance_Critical,Marks_Critical
95.0,65.5,9.5,41.3,4.6,50.9,Combo_HighScreen_LowHomework,ScreenTime_Warning,Attendance_Success
67.5,86.4,8.0,44.1,2.6,21.2,Combo_LowStudy_LowConsistency,Attendance_Critical,Consistency_Warning
61.9,89.9,2.5,52.2,5.2,77.5,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
70.0,36.0,5.9,36.3,1.3,39.9,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
90.0,51.4,12.4,73.2,3.6,92.6,ScreenTime_Warning,Consistency_Success,General_Balanced
81.6,59.3,19.8,62.6,4.1,23.6,Combo_HighScreen_LowHomework,Attendance_Warning,ScreenTime_Warning
52.2,82.3,10.9,45.9,3.9,14.0,Attendance_Critical,ScreenTime_Warning,Consistency_Warning
90.9,76.3,18.9,43.2,7.6,45.6,Combo_HighScreen_LowHomework,ScreenTime_Critical,StudyHours_Success
53.5,95.0,12.2,70.1,6.4,59.3,Attendance_Critical,ScreenTime_Critical,Marks_Success
83.4,66.7,12.2,77.3,3.8,99.0,Attendance_Warning,ScreenTime_Warning,Consistency_Success
72.2,93.3,7.2,87.4,1.7,27.1,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
90.7,72.4,17.2,83.9,5.0,94.7,ScreenTime_Warning,StudyHours_Success,Consistency_Success
70.4,31.6,14.9,58.3,6.8,60.5,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Critical
57.7,35.5,5.3,59.1,5.0,39.7,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,Attendance_Critical
50.8,71.0,6.7,48.4,4.5,65.7,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
75.8,75.7,19.0,83.4,5.8,44.6,Attendance_Warning,ScreenTime_Critical,StudyHours_Success
81.1,39.2,14.0,33.8,4.4,91.7,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Warning
78.4,45.3,14.2,85.4,3.9,31.3,Combo_HighStudy_LowMarks,Attendance_Warning,ScreenTime_Warning
70.4,51.5,10.9,30.6,6.5,39.0,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
72.4,73.5,7.3,93.9,4.4,19.3,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
51.9,26.3,8.0,49.8,6.4,92.4,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
78.7,60.1,14.9,43.5,7.4,89.5,Combo_HighScreen_LowHomework,Attendance_Warning,ScreenTime_Critical
95.2,21.5,18.4,61.5,6.3,72.7,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Marks_Critical
77.7,61.4,6.7,44.2,5.9,79.7,Combo_HighScreen_LowHomework,Attendance_Warning,StudyHours_Critical
85.1,50.0,19.3,54.4,1.1,23.7,Consistency_Warning,StudyHours_Success,General_Balanced
86.5,79.2,7.6,76.6,5.2,33.4,Combo_LowStudy_LowConsistency,StudyHours_Critical,ScreenTime_Critical
91.0,49.1,14.3,74.2,1.2,62.9,Combo_HighStudy_LowMarks,General_Balanced,General_Balanced
53.4,51.8,10.6,85.7,7.9,50.9,Attendance_Critical,ScreenTime_Critical,General_Balanced
70.6,67.0,9.1,82.1,6.0,42.0,Attendance_Critical,ScreenTime_Critical,General_Balanced
56.0,24.7,17.0,73.3,3.9,18.9,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
91.4,24.3,7.7,82.6,2.5,61.8,StudyHours_Critical,Marks_Critical,General_Balanced
90.6,40.6,3.9,40.7,1.1,86.3,StudyHours_Critical,Consistency_Success,General_Balanced
66.9,75.3,14.3,78.4,4.2,23.9,Attendance_Critical,ScreenTime_Warning,Consistency_Warning
66.3,43.9,7.0,48.5,7.4,78.1,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
78.4,74.0,13.4,97.4,6.2,29.9,Attendance_Warning,ScreenTime_Critical,Consistency_Warning
92.0,62.5,8.5,77.2,6.0,49.0,ScreenTime_Critical,General_Balanced,General_Balanced
93.1,32.1,10.7,53.8,5.4,45.0,Combo_HighScreen_LowHomework,Marks_Critical,ScreenTime_Critical
95.4,85.8,14.5,58.2,5.4,57.1,Combo_HighScreen_LowHomework,ScreenTime_Critical,Attendance_Success
60.1,90.2,10.5,66.7,5.2,26.8,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
85.7,57.5,12.8,93.1,3.3,20.4,ScreenTime_Warning,Consistency_Warning,General_Balanced
99.1,21.0,11.3,83.5,1.6,71.3,Marks_Critical,Attendance_Success,General_Balanced
51.4,59.1,6.6,66.7,7.6,26.9,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,Attendance_Critical
93.4,41.9,13.2,93.5,2.2,59.9,Combo_HighStudy_LowMarks,General_Balanced,General_Balanced
85.2,58.2,14.0,47.5,5.5,97.2,Combo_HighScreen_LowHomework,ScreenTime_Critical,Consistency_Success
99.9,36.6,16.4,79.9,2.6,89.2,Combo_HighStudy_LowMarks,Marks_Critical,Attendance_Success
95.3,75.0,10.1,55.1,6.8,71.0,Combo_HighScreen_LowHomework,ScreenTime_Critical,Attendance_Success
63.2,84.6,14.8,89.1,1.9,16.2,Attendance_Critical,Consistency_Warning,Marks_Success
93.6,67.0,14.0,72.9,3.1,57.2,ScreenTime_Warning,General_Balanced,General_Balanced
52.9,25.2,5.8,55.8,1.1,12.8,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
51.2,88.3,14.1,88.5,2.6,65.3,Attendance_Critical,Marks_Success,General_Balanced
76.8,68.6,14.4,37.5,4.5,84.5,Combo_HighScreen_LowHomework,Attendance_Warning,ScreenTime_Warning
62.5,58.6,16.1,84.7,1.8,69.7,Attendance_Critical,StudyHours_Success,General_Balanced
96.7,79.2,7.5,84.3,5.5,10.2,Combo_LowStudy_LowConsistency,StudyHours_Critical,ScreenTime_Critical
86.8,83.7,18.0,83.9,4.5,47.5,ScreenTime_Warning,StudyHours_Success,Marks_Success
78.9,89.9,15.0,55.2,7.2,31.1,Combo_HighScreen_LowHomework,Attendance_Warning,ScreenTime_Critical
78.4,89.9,3.8,74.5,3.5,20.1,Combo_LowStudy_LowConsistency,Attendance_Warning,StudyHours_Critical
72.3,53.1,7.5,96.8,1.5,17.2,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
68.1,84.6,8.2,68.6,3.6,13.4,Combo_LowStudy_LowConsistency,Attendance_Critical,ScreenTime_Warning
86.8,22.6,18.6,77.6,7.0,83.7,Combo_HighStudy_LowMarks,Marks_Critical,ScreenTime_Critical
92.5,46.3,19.1,57.4,1.9,55.7,Combo_HighStudy_LowMarks,StudyHours_Success,General_Balanced
74.1,67.6,17.4,78.8,1.7,13.2,Attendance_Critical,Consistency_Warning,StudyHours_Success
53.3,35.5,10.0,76.1,6.1,29.3,Attendance_Critical,Marks_Critical,ScreenTime_Critical
53.4,88.5,4.4,54.9,5.4,52.6,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
81.2,84.3,17.1,59.9,2.6,12.1,Attendance_Warning,Consistency_Warning,StudyHours_Success
88.6,66.8,11.8,46.0,6.0,97.7,Combo_HighScreen_LowHomework,ScreenTime_Critical,Consistency_Success
56.4,78.2,14.0,62.0,7.0,43.9,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
51.6,84.9,14.9,52.7,1.6,99.3,Attendance_Critical,Marks_Success,Consistency_Success
93.7,48.8,17.1,57.6,1.7,85.8,Combo_HighStudy_LowMarks,StudyHours_Success,Consistency_Success
97.6,54.9,8.6,67.5,5.5,99.2,Combo_HighScreen_LowHomework,ScreenTime_Critical,Attendance_Success
69.6,47.7,15.7,77.0,6.8,23.6,Combo_HighStudy_LowMarks,Attendance_Critical,ScreenTime_Critical
92.2,74.0,13.8,90.2,7.0,93.3,ScreenTime_Critical,Consistency_Success,General_Balanced
71.8,32.0,8.6,75.7,3.1,76.5,Attendance_Critical,Marks_Critical,ScreenTime_Warning
56.4,57.9,11.0,65.3,3.6,10.2,Attendance_Critical,ScreenTime_Warning,Consistency_Warning
55.0,57.4,16.1,40.3,6.8,57.6,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
91.6,93.6,16.4,59.0,3.0,77.8,ScreenTime_Warning,StudyHours_Success,Marks_Success
69.6,41.1,16.5,33.2,2.2,56.8,Combo_HighStudy_LowMarks,Attendance_Critical,StudyHours_Success
55.4,38.3,15.3,99.4,5.9,20.4,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
98.4,53.9,4.3,39.7,4.8,78.0,Combo_HighScreen_LowHomework,StudyHours_Critical,ScreenTime_Warning
52.1,35.2,6.6,58.8,6.4,55.3,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
84.0,23.6,12.3,91.7,5.7,80.4,Combo_HighStudy_LowMarks,Attendance_Warning,Marks_Critical
51.4,22.9,15.0,33.7,6.4,56.8,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Critical
62.8,36.4,19.2,85.7,2.6,70.1,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
79.3,21.4,4.3,86.0,1.5,32.2,Combo_LowStudy_LowConsistency,Attendance_Warning,StudyHours_Critical
83.6,51.2,7.0,47.1,2.0,68.0,Attendance_Warning,StudyHours_Critical,General_Balanced
59.8,71.0,15.2,50.7,3.2,37.3,Attendance_Critical,ScreenTime_Warning,Consistency_Warning
52.5,91.0,12.6,88.5,6.2,56.8,Attendance_Critical,ScreenTime_Critical,Marks_Success
95.7,73.3,5.4,98.7,1.0,72.3,StudyHours_Critical,Attendance_Success,General_Balanced
70.9,25.7,7.4,70.0,1.4,84.2,Attendance_Critical,StudyHours_Critical,Marks_Critical
94.0,22.1,7.3,72.0,4.8,68.5,StudyHours_Critical,Marks_Critical,ScreenTime_Warning
81.5,24.5,8.5,34.9,5.8,78.3,Combo_HighScreen_LowHomework,Attendance_Warning,Marks_Critical
83.7,64.0,7.3,88.5,6.7,13.4,Combo_LowStudy_LowConsistency,Attendance_Warning,StudyHours_Critical
53.8,30.2,4.9,99.8,6.5,61.3,Attendance_Critical,StudyHours_Critical,Marks_Critical
58.9,23.1,13.6,39.7,1.6,12.7,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
94.7,90.2,15.8,88.4,1.9,66.1,StudyHours_Success,Marks_Success,General_Balanced
50.3,48.5,10.6,31.9,4.3,87.0,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Warning
73.7,30.1,2.8,81.9,5.8,15.8,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
74.2,32.1,5.3,42.3,2.5,54.5,Attendance_Critical,StudyHours_Critical,Marks_Critical
94.3,71.9,16.2,36.1,1.5,66.8,StudyHours_Success,General_Balanced,General_Balanced
80.1,72.3,18.0,89.2,2.7,14.9,Attendance_Warning,Consistency_Warning,StudyHours_Success
53.3,35.2,19.4,96.6,6.6,51.5,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
86.6,66.1,12.3,39.8,7.4,36.1,Combo_HighScreen_LowHomework,ScreenTime_Critical,Consistency_Warning
53.5,26.8,5.9,80.3,1.5,39.1,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
77.9,64.7,3.6,73.6,2.3,25.3,Combo_LowStudy_LowConsistency,Attendance_Warning,StudyHours_Critical
86.5,39.2,13.7,53.1,2.2,28.1,Combo_HighStudy_LowMarks,Marks_Critical,Consistency_Warning
63.5,87.3,8.9,54.6,6.9,49.6,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
59.9,83.1,11.7,36.0,2.2,87.0,Attendance_Critical,Marks_Success,Consistency_Success
80.9,24.6,2.4,35.1,3.2,67.8,Attendance_Warning,StudyHours_Critical,Marks_Critical
55.3,38.2,12.9,72.0,4.2,39.3,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
54.2,70.9,3.3,57.3,2.7,36.0,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
93.6,50.2,12.9,46.4,3.2,72.9,ScreenTime_Warning,General_Balanced,General_Balanced
52.1,32.1,5.4,69.2,4.2,62.0,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
94.8,71.4,11.8,43.5,1.9,82.2,Consistency_Success,General_Balanced,General_Balanced
53.5,54.7,10.2,62.4,2.5,97.8,Attendance_Critical,Consistency_Success,General_Balanced
60.9,37.4,9.0,98.4,2.9,29.3,Combo_LowStudy_LowConsistency,Attendance_Critical,Marks_Critical
60.4,40.9,16.2,97.4,4.4,84.8,Combo_HighStudy_LowMarks,Attendance_Critical,ScreenTime_Warning
74.2,50.4,14.5,50.6,4.0,75.7,Attendance_Critical,ScreenTime_Warning,General_Balanced
95.0,43.3,6.3,80.8,2.8,70.4,StudyHours_Critical,Attendance_Success,General_Balanced
86.8,42.5,19.7,58.5,5.2,82.6,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,ScreenTime_Critical
88.5,83.0,14.0,89.2,6.8,56.0,ScreenTime_Critical,Marks_Success,General_Balanced
93.5,89.6,3.8,55.2,2.5,73.4,StudyHours_Critical,Marks_Success,General_Balanced
77.8,33.6,17.7,93.2,3.8,34.7,Combo_HighStudy_LowMarks,Attendance_Warning,Marks_Critical
82.0,22.8,14.4,85.9,2.5,88.8,Combo_HighStudy_LowMarks,Attendance_Warning,Marks_Critical
61.6,25.7,19.6,93.9,4.9,67.8,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
52.5,79.6,7.6,90.0,2.7,12.7,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
59.2,59.4,15.9,54.4,4.3,40.2,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Warning
89.5,83.3,12.8,60.4,8.0,13.1,Combo_HighScreen_LowHomework,ScreenTime_Critical,Consistency_Warning
98.0,54.8,13.3,82.4,6.8,12.9,ScreenTime_Critical,Consistency_Warning,Attendance_Success
89.7,27.3,12.9,92.8,3.2,74.4,Combo_HighStudy_LowMarks,Marks_Critical,ScreenTime_Warning
67.9,90.5,14.9,30.1,1.8,16.8,Attendance_Critical,Consistency_Warning,Marks_Success
62.3,81.7,18.7,99.4,3.6,33.2,Attendance_Critical,ScreenTime_Warning,Consistency_Warning
58.2,25.2,17.7,59.2,7.8,98.9,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Critical
86.6,76.6,16.7,44.1,1.7,54.8,StudyHours_Success,General_Balanced,General_Balanced
87.7,58.7,13.4,65.6,3.4,32.2,ScreenTime_Warning,Consistency_Warning,General_Balanced
86.9,29.1,16.8,76.2,6.2,50.1,Combo_HighStudy_LowMarks,Marks_Critical,ScreenTime_Critical
67.7,77.8,12.7,82.1,1.6,32.5,Attendance_Critical,Consistency_Warning,General_Balanced
88.4,34.1,14.5,33.6,7.4,16.9,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Marks_Critical
58.4,30.0,15.2,91.9,5.5,79.0,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
62.7,53.6,11.3,58.0,2.1,52.7,Attendance_Critical,General_Balanced,General_Balanced
98.9,28.4,10.4,73.9,3.5,42.6,Marks_Critical,ScreenTime_Warning,Attendance_Success
63.7,23.9,9.4,37.2,5.3,43.0,Combo_HighScreen_LowHomework,Attendance_Critical,Marks_Critical
84.6,59.1,7.2,84.3,7.2,92.6,Attendance_Warning,StudyHours_Critical,ScreenTime_Critical
56.3,80.3,2.6,75.3,7.2,20.6,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
96.8,85.0,11.9,31.3,4.0,87.9,Combo_HighScreen_LowHomework,ScreenTime_Warning,Attendance_Success
51.4,94.4,17.6,58.4,2.6,97.6,Attendance_Critical,StudyHours_Success,Marks_Success
86.0,56.0,4.2,43.2,7.6,86.8,Combo_HighScreen_LowHomework,StudyHours_Critical,ScreenTime_Critical
61.2,45.7,5.5,66.8,5.1,99.4,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
83.8,73.4,8.3,89.7,5.7,37.3,Combo_LowStudy_LowConsistency,Attendance_Warning,ScreenTime_Critical
89.7,89.0,3.3,96.7,3.8,25.6,Combo_LowStudy_LowConsistency,StudyHours_Critical,ScreenTime_Warning
87.6,80.8,18.0,76.5,4.1,31.9,ScreenTime_Warning,Consistency_Warning,StudyHours_Success
87.1,46.1,2.4,67.6,5.9,98.8,Combo_HighScreen_LowHomework,StudyHours_Critical,ScreenTime_Critical
74.5,62.1,14.4,87.2,5.7,24.5,Attendance_Critical,ScreenTime_Critical,Consistency_Warning
59.2,54.6,9.9,94.1,1.4,72.3,Attendance_Critical,General_Balanced,General_Balanced
62.8,91.8,10.2,71.9,5.9,36.4,Attendance_Critical,ScreenTime_Critical,Consistency_Warning
60.6,59.5,6.5,85.2,4.9,69.3,Attendance_Critical,StudyHours_Critical,ScreenTime_Warning
67.5,81.5,7.4,90.1,7.1,39.8,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
89.8,84.5,5.4,51.1,4.7,11.9,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,StudyHours_Critical
80.3,70.4,17.4,83.1,6.8,22.6,Attendance_Warning,ScreenTime_Critical,Consistency_Warning
51.3,26.2,11.5,83.5,3.4,46.3,Attendance_Critical,Marks_Critical,ScreenTime_Warning
51.1,58.7,9.6,75.0,6.7,23.2,Combo_LowStudy_LowConsistency,Attendance_Critical,ScreenTime_Critical
83.9,26.8,6.9,35.8,7.3,24.0,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,Attendance_Warning
93.2,36.7,15.2,32.7,7.5,90.4,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Marks_Critical
70.3,79.5,5.4,72.7,5.9,49.5,Attendance_Critical,StudyHours_Critical,ScreenTime_Critical
68.4,58.5,3.4,77.6,1.5,57.5,Attendance_Critical,StudyHours_Critical,General_Balanced
80.9,28.5,14.9,35.2,3.8,67.1,Combo_HighStudy_LowMarks,Attendance_Warning,Marks_Critical
59.3,87.7,4.3,33.0,4.8,70.7,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
73.4,60.7,7.2,100.0,5.4,20.0,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
62.0,87.0,6.5,45.1,6.2,23.3,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,Attendance_Critical
52.7,22.5,17.4,63.4,2.6,96.3,Combo_HighStudy_LowMarks,Attendance_Critical,Marks_Critical
53.3,90.6,16.9,61.3,5.9,88.4,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
50.3,23.3,5.9,60.1,6.3,42.0,Combo_HighScreen_LowHomework,Attendance_Critical,StudyHours_Critical
54.9,76.2,16.4,65.3,1.1,53.6,Attendance_Critical,StudyHours_Success,General_Balanced
65.4,75.3,17.4,72.0,4.0,47.9,Attendance_Critical,ScreenTime_Warning,StudyHours_Success
56.3,49.0,12.1,42.2,5.8,62.3,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Critical
69.8,61.3,9.1,78.1,6.4,12.7,Combo_LowStudy_LowConsistency,Attendance_Critical,ScreenTime_Critical
88.7,92.4,14.9,90.3,7.8,35.3,ScreenTime_Critical,Consistency_Warning,Marks_Success
87.1,81.9,13.4,36.1,2.7,96.2,Marks_Success,Consistency_Success,General_Balanced
54.3,66.6,9.8,87.7,7.4,43.6,Attendance_Critical,ScreenTime_Critical,General_Balanced
77.4,81.2,11.4,70.3,3.8,50.6,Attendance_Warning,ScreenTime_Warning,Marks_Success
86.0,45.2,15.3,53.0,2.7,37.0,Combo_HighStudy_LowMarks,Consistency_Warning,StudyHours_Success
54.6,20.1,7.0,82.9,7.4,41.5,Attendance_Critical,StudyHours_Critical,Marks_Critical
50.9,82.2,15.4,87.2,1.7,27.1,Attendance_Critical,Consistency_Warning,StudyHours_Success
78.7,33.3,17.8,86.0,1.2,11.7,Combo_HighStudy_LowMarks,Attendance_Warning,Marks_Critical
96.3,39.5,8.2,77.3,1.3,23.5,Combo_LowStudy_LowConsistency,Marks_Critical,Consistency_Warning
70.1,59.5,14.0,36.5,7.1,15.4,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Critical
60.5,90.9,4.8,79.5,5.8,96.4,Attendance_Critical,StudyHours_Critical,ScreenTime_Critical
94.1,63.9,8.8,99.0,6.3,33.8,Combo_LowStudy_LowConsistency,ScreenTime_Critical,Consistency_Warning
70.1,93.4,3.9,86.7,3.0,24.3,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
84.0,52.2,6.6,52.1,5.9,61.8,Combo_HighScreen_LowHomework,Attendance_Warning,StudyHours_Critical
66.3,40.9,12.1,51.4,4.4,67.0,Combo_HighStudy_LowMarks,Combo_HighScreen_LowHomework,Attendance_Critical
89.7,76.2,8.4,69.9,1.2,30.1,Combo_LowStudy_LowConsistency,Consistency_Warning,General_Balanced
67.6,79.3,14.7,93.9,5.7,14.2,Attendance_Critical,ScreenTime_Critical,Consistency_Warning
85.6,22.7,19.9,81.6,6.8,63.4,Combo_HighStudy_LowMarks,Marks_Critical,ScreenTime_Critical
69.3,53.5,13.7,51.4,4.7,91.1,Combo_HighScreen_LowHomework,Attendance_Critical,ScreenTime_Warning
85.5,88.4,4.6,70.8,1.4,67.8,StudyHours_Critical,Marks_Success,General_Balanced
99.8,93.8,3.1,35.1,4.1,13.2,Combo_LowStudy_LowConsistency,Combo_HighScreen_LowHomework,StudyHours_Critical
73.7,63.0,11.0,77.8,2.0,55.4,Attendance_Critical,General_Balanced,General_Balanced
73.3,22.8,7.1,78.8,6.7,21.0,Combo_LowStudy_LowConsistency,Attendance_Critical,StudyHours_Critical
54.7,84.6,17.6,83.5,7.7,18.8,Attendance_Critical,ScreenTime_Critical,Consistency_Warning
